matrix_id,matrix,k,method,variant,repeat,sweeps,threads,task_dir,factor_recorded,solver_recorded,factor_status,factor_finite,failure_origin_sweep,failure_origin_status,objective,masked_residual_norm,relative_masked_residual,t_factor,t_objective,n,nnz,L_nnz,U_nnz,S_nnz,solver_status,iterations,converged,true_rel_residual,nan_solution,nan_residual,breakdown,stagnated,outcome
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,0.2036853100116537,0.6382559204765024,0.0004387056665391036,0.008213518886,0.003915101057,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.747768012861535e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,0.9470332850807106,1.376250911048353,0.0009459670547288541,0.007197055034,0.004377127858,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.902347167722388e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,3.6397820131020207,2.6980667201172106,0.001854518102914114,0.04845755105,0.05377303902,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.754736556049837e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,7.634109955831506,3.907456962227864,0.0026857933566944224,0.03571799467,0.02991314791,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.494776463750876e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,3,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,1.7718449525634244e-26,1.8824690980536307e-13,1.2939164900866004e-16,0.0644834647,0.02648590412,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.112132057478294e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,3,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,2.589796688040413e-06,0.00227587200344853,1.5643222603948364e-06,0.03288729698,0.01372830593,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.818526946063787e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,3,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,0.0001440824341118267,0.016975419530122177,1.1668066837798314e-05,0.02229069197,0.006870187121,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,316.0,1,9.923442440077906e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,3,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,0.0017381324176992028,0.058959857830547774,4.052610073603463e-05,0.01241862378,0.003889524844,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,319.0,1,9.717996883824857e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,3,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,0.00866634378409539,0.13165366522885255,9.049224159708525e-05,0.01050502597,0.004780621035,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.824739214182562e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,3,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,0.044368078336258256,0.2978861471645107,0.00020475225775733367,0.0614569569,0.02299637906,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.946411602343236e-09,0,0,0,0,converged
